,checkpoint,model,seed,shuffle_utterances,augment_frames,multiple_frames,cnn,eval_type,eval_dataset,stage,trial_idx,categories,logits,pred,correct,target_category,config,filtered
0,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,0,"['ball', 'basket', 'puzzle', 'chair']","[0.12400483340024948, 0.3716544806957245, 0.018160371109843254, 0.4861803352832794]",3,False,ball,contrastive_transformer_embedding,False
1,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,1,"['ball', 'cat', 'sand', 'computer']","[0.8282068967819214, 0.13415953516960144, 0.03072720393538475, 0.006906293332576752]",0,True,ball,contrastive_transformer_embedding,False
2,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,2,"['ball', 'crib', 'road', 'car']","[0.23509256541728973, 0.016675829887390137, 0.026038672775030136, 0.7221928834915161]",3,False,ball,contrastive_transformer_embedding,False
3,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,3,"['ball', 'room', 'sand', 'hand']","[0.9589757919311523, 0.03490140289068222, 0.0022837549913674593, 0.003839092096313834]",0,True,ball,contrastive_transformer_embedding,False
4,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,4,"['ball', 'computer', 'cat', 'ground']","[0.9225205779075623, 0.00957455299794674, 0.03760623186826706, 0.030298620462417603]",0,True,ball,contrastive_transformer_embedding,False
5,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,5,"['ball', 'hand', 'toy', 'floor']","[0.4658564031124115, 0.003798164427280426, 0.4860621392726898, 0.04428328946232796]",2,False,ball,contrastive_transformer_embedding,False
6,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,6,"['ball', 'room', 'kitchen', 'ground']","[0.8797874450683594, 0.05551784113049507, 0.0097914207726717, 0.0549033060669899]",0,True,ball,contrastive_transformer_embedding,False
7,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,7,"['ball', 'hand', 'door', 'kitchen']","[0.3190380930900574, 0.5931896567344666, 0.08147810399532318, 0.006294148974120617]",1,False,ball,contrastive_transformer_embedding,False
8,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,8,"['ball', 'chair', 'car', 'paper']","[0.9956799745559692, 0.0015283508691936731, 0.001724377740174532, 0.0010672274511307478]",0,True,ball,contrastive_transformer_embedding,False
9,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,9,"['ball', 'computer', 'basket', 'sand']","[0.6483282446861267, 0.002926970599219203, 0.3412987291812897, 0.007445954252034426]",0,True,ball,contrastive_transformer_embedding,False
